diary,condition,clip_score
diary_1,condition_baseline,0.227077
diary_1,condition_partial,0.214925
diary_1,condition_full,0.263047
diary_10,condition_baseline,0.258105
diary_10,condition_partial,0.212912
diary_10,condition_full,0.252805
diary_2,condition_baseline,0.230947
diary_2,condition_partial,0.194847
diary_2,condition_full,0.256689
diary_3,condition_baseline,0.276184
diary_3,condition_partial,0.240909
diary_3,condition_full,0.285355
diary_4,condition_baseline,0.282538
diary_4,condition_partial,0.215381
diary_4,condition_full,0.275311
diary_5,condition_baseline,0.212503
diary_5,condition_partial,0.210454
diary_5,condition_full,0.238717
diary_6,condition_baseline,0.290927
diary_6,condition_partial,0.203365
diary_6,condition_full,0.279977
diary_7,condition_baseline,0.300348
diary_7,condition_partial,0.212766
diary_7,condition_full,0.275384
diary_8,condition_baseline,0.207778
diary_8,condition_partial,0.21029
diary_8,condition_full,0.238311
diary_9,condition_baseline,0.243758
diary_9,condition_partial,0.247059
diary_9,condition_full,0.227025
